ITEM NO.,UNITS,LS UNITS,DESCRIPTION
714-1000,SY,,JUTE MESH
716-1000,SY,,"EROSION CONTROL MATS, WATERWAYS"
716-2000,SY,,"EROSION CONTROL MATS, SLOPES"
719-1000,EA,,SILT FILTER BAG
721-1050,SY,* * * Requires Special Provision * * *,FABRIC FORMED CONCRETE RIP RAP -
721-1055,SY,* * * Requires Special Provision * * *,FABRIC FORMED CONCRETE REVETMENT MAT -
725-0010,SY,,WEED CONTROL
753-5000,LS,* * * Requires Special Provision * * *,WASTE WATER TREATMENT SYSTEM -
754-0600,EA,* * * Requires Special Provision * * *,GAZEBO INCLUDING SLAB FOUNDATION
754-1050,EA,* * * Requires Special Provision * * *,PICNIC TABLE
754-3010,EA,* * * Requires Special Provision * * *,GRILL
754-3020,EA,* * * Requires Special Provision * * *,PEDESTAL GRILL
754-4000,EA,* * * Requires Special Provision * * *,WASTE RECEPTACLE UNIT
754-5000,EA,* * * Requires Special Provision * * *,BENCH
754-6000,EA,* * * Requires Special Provision * * *,BICYCLE RACK
754-6050,EA,* * * Requires Special Provision * * *,BICYCLE RING
754-7000,EA,* * * Requires Special Provision * * *,OUTDOOR SWING
754-7010,EA,* * * Requires Special Provision * * *,PLAYGROUND SYSTEM
754-7020,SF,* * * Requires Special Provision * * *,PLAYGROUND MULCH
754-7090,EA,* * * Requires Special Provision * * *,MONUMENT / SCULPTURE
760-1100,LS,* * * Requires Special Provision * * *,WELCOME CENTER BLDG
762-1000,LS,* * * Requires Special Provision * * *,TRUCK WEIGHING STATION BUILDING -
763-0100,LS,* * * Requires Special Provision * * *,FARE SYSTEM SHELTER BUILDING
763-0110,LS,* * * Requires Special Provision * * *,BUS PAVILLION
765-1000,EA,* * * Requires Special Provision * * *,FLAGPOLE
766-7020,LS,* * * Requires Special Provision * * *,IRRIGATION SYSTEM
777-1000,LS,* * * Requires Special Provision * * *,"TRUCK WEIGH STATION COMMUNICATION SYSTEM, TWS NO -"
792-4000,LS,* * * Requires Special Provision * * *,INTERIOR FURNISHINGS
795-0010,LS,* * * Requires Special Provision * * *,METAL BUILDING AND APPURTENANCES
795-0020,LS,* * * Requires Special Provision * * *,INSPECTION BUILDING AND APPURTENANCES
796-0500,LS,* * * Requires Special Provision * * *,"SEWAGE PUMP STATION, NO -"
797-0100,LS,* * * Requires Special Provision * * *,BUILDING DEMOLITION
797-1100,LS,* * * Requires Special Provision * * *,BUILDING RENOVATIONS
797-2010,EA,* * * Requires Special Provision * * *,"HUB BUILDING, FULLY OUTFITTED, 16' X 24'"
797-2020,EA,* * * Requires Special Provision * * *,"HUB BUILDING, FULLY OUTFITTED, 32' X 24'"
797-2099,EA,* * * Requires Special Provision * * *,"HUB BUILDING, FULLY OUTFITTED, SPECIAL"
797-2110,EA,* * * Requires Special Provision * * *,"HUB BUILDING, NO INTERIOR OUTFITTING, 16' X 24'"
797-2120,EA,* * * Requires Special Provision * * *,"HUB BUILDING, NO INTERIOR OUTFITTING, 32' X 24'"
797-2199,EA,* * * Requires Special Provision * * *,"HUB BUILDING, NO INTERIOR OUTFITTING, SPECIAL"
797-2200,EA,* * * Requires Special Provision * * *,MINI HUB
827-0005,LB,* * * Requires Special Provision * * *,"PAVEMENT PATCHING MASTIC, INCL POLYMER-MODIFIED BITUMINOUS MATERIALS AND AGGREGATE"
900-0035,SF,* * * Requires Special Provision * * *,CONCRETE  AND BRICK PAVERS SIDEWALK
900-0037,SF,* * * Requires Special Provision * * *,CONCRETE PAVERS
900-0039,SF,* * * Requires Special Provision * * *,BRICK PAVERS
900-0045,SY,* * * Requires Special Provision * * *,"MORTAR SETTING FOR BED BRICK PAVERS, 1 1/2 IN"
900-0100,SF,* * * Requires Special Provision * * *,GRANITE PAVERS
900-0125,LF,* * * Requires Special Provision * * *,GRANITE STAIRS
900-0150,CY,* * * Requires Special Provision * * *,#57 GRANITE GRAVEL
900-0200,SF,* * * Requires Special Provision * * *,GRANITE CORNER PIECE
900-0201,EA,* * * Requires Special Provision * * *,GRANITE CORNER PIECE
900-0300,SF,* * * Requires Special Provision * * *,RUBBERIZED PATHWAY
900-0526,EA,* * * Requires Special Provision * * *,BOLLARDS
900-0527,EA,* * * Requires Special Provision * * *,REMOVABLE BOLLARDS
926-0000,$,,SEC 926 - WIRELESS COMMUNICATION EQUIPMENT
926-2000,EACH,,"SPREAD SPECTRUM WIRELESS TRANSCEIVER W/FSK & RS 232 CONNECTION, TYPE -"
926-2010,LS,,"SPREAD SPECTRUM WIRELESS TRANSCEIVER W/FSK & RS 232 CONNECTION, TYPE -"
926-2020,EA,,SHELF MOUNT SPREAD SPECTRUM WIRELESS TRANSCEIVER WITH FSK &  RS 232 CONNECTION
926-2025,EACH,,SPREAD SPECTRUM WIRELESS TRANSCEIVER W/RS 232 CONNECTION
926-2030,EA,,SHELF MOUNT SPREAD SPECTRUM WIRELESS TRANSCEIVER WITH RS 232 CONNECTION
926-2035,EA,,RACK MOUNT SPREAD SPECTRUM WIRELESS TRANSCEIVER WITH FSK & RS 232 CONNECTION
926-2040,EA,,2070 MOUNT SPREAD SPECTRUM WIRELESS TRANSCEIVER WITH RS 232 CONNECTION
926-2050,EA,,SELF CONTAINED WIRELESS RADIO REPEATER STATION
926-2060,EA,,SELF CONTAINED SPREAD SPECTRUM WIRELESS RADIO REPEATER  STATION
926-2075,EACH,,900 Mhz DIRECTIONAL RADIO ANTENNA AND CONNECTING CABLE
926-2085,EACH,,900 Mhz OMNI DIRECTIONAL RADIO ANTENNA AND CONNECTING CABLE
926-2095,EACH,,900 Mhz ANTENNA POWER DIVIDER
926-2101,EACH,,"WIRELESS SYSTEM, TYPE 1"
926-2102,EACH,,"WIRELESS SYSTEM, TYPE 2"
926-2103,EACH,,"WIRELESS SYSTEM, TYPE 3"
926-2104,EACH,,"WIRELESS SYSTEM, TYPE 4"
926-2200,EACH,,BROADBAND WIRELESS ETHERNET RADIO
926-2220,LS,,WIRELESS SYSTEM SURVEY
926-2225,EACH,,BROADBAND WIRELESS ETHERNET RADIO FLAT PANEL ANTENNA
926-2250,EACH,,BROADBAND WIRELESS ETHERNET RADIO OMNI-DIRECTIONAL ANTENNA
926-2260,EA,,DIRECTIONAL RADIO ANTENNA AND CONNECTING CABLE
926-2275,EACH,,BROADBAND WIRELESS ETHERNET RADIO SECTORAL ANTENNA
926-2285,EA,,OMNI DIRECTIONAL RADIO ANTENNA AND CONNECTING CABLE
926-2300,EACH,,BROADBAND WIRELESS ETHERNET RADIO POWER DIVIDER
926-2310,EA,,ANTENNA POWER DIVIDER
926-2400,EACH,,WiMAX RADIO BASE STATION UNIT
926-2425,EACH,,WiMAX RADIO POWER OVER ETHERNET INJECTOR
926-2450,EACH,,WiMAX RADIO SUBSCRIBER UNIT
926-2500,EACH,,3G / 4G CELLULAR ROUTER TYPE -
926-3000,L S,,WIRELESS TRAINING
926-3010,LS,,SPREAD SPECTRUM WIRELESS TRAINING
926-4000,EA,,SPREAD SPECTRUM WIRELESS RADIO SURVEY
926-8500,LS,,TRAINING
935-0330,EA,,"FIBER OPTIC PIG TAIL, SM"
935-0345,EA,,FIBER OPTIC MODEM/TRANSCEIVER
935-1111,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 6 FIBER"
935-1112,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 12 FIBER"
935-1113,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 24 FIBER"
935-1114,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 36 FIBER"
935-1115,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 48 FIBER"
935-1116,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 72 FIBER"
935-1117,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 96 FIBER"
935-1118,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 144 FIBER"
935-1119,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, SINGLE MODE, 288 FIBER"
935-1120,LF,,"FIBER OPTIC CABLE, 72 MULTIMODE"
935-1121,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, MULTI MODE, 6 FIBER"
935-1122,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, MULTI MODE, 12 FIBER"
935-1123,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, MULTI MODE, 24 FIBER"
935-1125,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, MULTI MODE, 48 FIBER"
935-1126,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, MULTI MODE, 72 FIBER"
935-1127,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, MULTI MODE, 96 FIBER"
935-1130,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, HYBRID, SPECIAL"
935-1132,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, HYBRID, 12 FIBER"
935-1133,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, HYBRID, 24 FIBER"
935-1134,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, HYBRID, 36 FIBER"
935-1145,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, LOOSE TUBE, HYBRID, 60 FIBER"
935-1509,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, DROP, SINGLE MODE,  4 FIBER"
935-1511,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, DROP, SINGLE MODE, 6 FIBER"
935-1512,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, DROP, SINGLE MODE, 12 FIBER"
935-1513,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, DROP, SINGLE MODE, 24 FIBER"
935-1521,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, DROP, MULTI MODE, 6 FIBER"
935-1522,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, DROP, MULTI MODE, 12 FIBER"
935-1532,LF,,"OUTSIDE PLANT FIBER OPTIC CABLE, DROP, HYBRID, 12 FIBER"
935-3101,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 6 FIBER"
935-3102,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 12 FIBER"
935-3103,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 24 FIBER"
935-3104,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 36 FIBER"
935-3105,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 48 FIBER"
935-3106,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 72 FIBER"
935-3107,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 96 FIBER"
935-3108,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 144 FIBER"
935-3120,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 288 FIBER"
935-3201,EA,,"FIBER OPTIC CLOSURE, AERIAL (SEALED), 6 FIBER"
935-3202,EA,,"FIBER OPTIC CLOSURE, AERIAL (SEALED), 12 FIBER"
935-3203,EA,,"FIBER OPTIC CLOSURE, AERIAL (SEALED), 24 FIBER"
935-3204,EA,,"FIBER OPTIC CLOSURE, AERIAL (SEALED), 36 FIBER"
935-3205,EA,,"FIBER OPTIC CLOSURE, AERIAL (SEALED), 48 FIBER"
935-3206,EA,,"FIBER OPTIC CLOSURE, AERIAL (SEALED), 72 FIBER"
935-3207,EA,,"FIBER OPTIC CLOSURE, AERIAL (SEALED), 96 FIBER"
935-3208,EA,,"FIBER OPTIC CLOSURE, AERIAL (SEALED), 144 FIBER"
935-3401,EA,,"FIBER OPTIC CLOSURE, FDC (RACK MOUNTED), 6 FIBER"
935-3402,EA,,"FIBER OPTIC CLOSURE, FDC (RACK MOUNTED), 12 FIBER"
935-3403,EA,,"FIBER OPTIC CLOSURE, FDC (RACK MOUNTED), 24 FIBER"
935-3405,EA,,"FIBER OPTIC CLOSURE, FDC (RACK MOUNTED), 48 FIBER"
935-3406,EA,,"FIBER OPTIC CLOSURE, FDC (RACK MOUNTED), 72 FIBER"
935-3407,EA,,"FIBER OPTIC CLOSURE, FDC (RACK MOUNTED), 96 FIBER"
935-3408,EA,,"FIBER OPTIC CLOSURE, FDC (RACK MOUNTED), 144 FIBER"
935-3409,EA,,"FIBER OPTIC CLOSURE, FDC (RACK MOUNTED), 288 FIBER"
935-3501,EA,,"FIBER OPTIC CLOSURE, FDC (WALL MOUNTED), 6 FIBER"
935-3502,EA,,"FIBER OPTIC CLOSURE, FDC (WALL MOUNTED), 12 FIBER"
935-3503,EA,,"FIBER OPTIC CLOSURE, FDC (WALL MOUNTED), 24 FIBER"
935-3601,EA,,"FIBER OPTIC CLOSURE, FDC PRE-TERMINATED, TYPE A, 4-FIBER"
935-3602,EA,,"FIBER OPTIC CLOSURE, FDC PRE-TERMINATED, TYPE A, 6-FIBER"
935-3603,EA,,"FIBER OPTIC CLOSURE, FDC PRE-TERMINATED, TYPE A, 12-FIBER"
935-3610,EA,* * * Requires Special Provision * * *,"FIBER OPTIC CLOSURE, FDC PRE-TERMINATED, TYPE A, 24 FIBER"
935-4010,EA,,"FIBER OPTIC SPLICE, FUSION"
935-4101,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND,  6 SPLICE"
935-4102,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 12 SPLICE"
935-4103,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 24 SPLICE"
935-4104,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 36 SPLICE"
935-4105,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 48 SPLICE"
935-4106,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 72 SPLICE"
935-4107,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 96 SPLICE"
935-4108,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 144 SPLICE"
935-4109,EA,,"FIBER OPTIC CLOSURE, UNDERGROUND, 288 SPLICE"
935-4201,EA,,"FIBER OPTIC CLOSURE, AERIAL,  6 SPLICE"
935-4202,EA,,"FIBER OPTIC CLOSURE, AERIAL, 12 SPLICE"
935-4203,EA,,"FIBER OPTIC CLOSURE, AERIAL, 24 SPLICE"
935-4204,EA,,"FIBER OPTIC CLOSURE, AERIAL, 36 SPLICE"
935-4205,EA,,"FIBER OPTIC CLOSURE, AERIAL, 48 SPLICE"
935-4206,EA,,"FIBER OPTIC CLOSURE, AERIAL, 72 SPLICE"
935-4207,EA,,"FIBER OPTIC CLOSURE, AERIAL, 96 SPLICE"
935-4208,EA,,"FIBER OPTIC CLOSURE, AERIAL, 144 SPLICE"
935-4209,EA,,"FIBER OPTIC CLOSURE, AERIAL, 288 SPLICE"
935-4401,EA,,"FIBER PATCH PANEL, RACK MOUNT, 6 PORT"
935-4402,EA,,"FIBER PATCH PANEL, RACK MOUNT, 12 PORT"
935-4403,EA,,"FIBER PATCH PANEL, RACK MOUNT, 24 PORT"
935-4404,EA,,"FIBER PATCH PANEL, RACK MOUNT, 36 PORT"
935-4405,EA,,"FIBER DISTRIBUTION UNIT, RACK MOUNT, 48 PORT"
935-4406,EA,,"FIBER DISTRIBUTION UNIT, RACK MOUNT, 72 PORT"
935-4407,EA,,"FIBER DISTRIBUTION UNIT, RACK MOUNT, 96 PORT"
935-4408,EA,,"FIBER DISTRIBUTION UNIT, RACK MOUNT, 144 PORT"
935-4409,EA,,"FIBER DISTRIBUTION UNIT, RACK MOUNT, 288 PORT"
935-4501,EA,,"FIBER PATCH PANEL, WALL MOUNT, 6 PORT"
935-4502,EA,,"FIBER PATCH PANEL, WALL MOUNT, 12 PORT"
935-4503,EA,,"FIBER PATCH PANEL, WALL MOUNT, 24 PORT"
935-4504,EA,,"FIBER PATCH PANEL, WALL MOUNT, 36 PORT"
935-4505,EA,,"FIBER DISTRIBUTION UNIT, WALL MOUNT, 48 PORT"
935-4506,EA,,"FIBER DISTRIBUTION UNIT, WALL MOUNT, 72 PORT"
935-4507,EA,,"FIBER DISTRIBUTION UNIT, WALL MOUNT, 96 PORT"
935-4508,EA,,"FIBER DISTRIBUTION UNIT, WALL MOUNT, 144 PORT"
935-4509,EA,,"FIBER DISTRIBUTION UNIT, WALL MOUNT, 288 PORT"
935-5020,EA,,"FIBER OPTIC CONNECTORS, MM"
935-5030,EA,,"FIBER OPTIC CONNECTORS, SM"
935-5040,EA,,"FIBER OPTIC PATCH CORD, MM"
935-5050,EA,,"FIBER OPTIC PATCH CORD, SM"
935-5060,EA,,FIBER OPTIC SNOWSHOE
935-5070,EA,,"FIBER INTERCONNECT CABLE, SM"
935-5075,EA,,"FIBER INTERCONNECT CABLE, MM"
935-508 5,EA,,"FIBER PIGTAIL CABLE, MM"
935-5080,EA,,"FIBER PIGTAIL CABLE, SM"
935-5085,EA,,"FIBER PIGTAIL CABLE, MM"
935-6560,EA,,"EXTERNAL TRANSCEIVER, DROP AND REPEAT, 850 MULTI MODE, (SIGNAL JOBS)"
935-6561,EA,,"EXTERNAL TRANSCEIVER, DROP AND REPEAT, 1300 MULTI MODE, (SIGNAL JOBS)"
935-6562,EA,,"EXTERNAL TRANSCEIVER, DROP AND REPEAT, 1310 SINGLE MODE, (SIGNAL JOBS)"
935-6571,EA,,"EXTERNAL STAR TRANSCEIVER, 1300 MULTI MODE, (SIGNAL JOBS)"
935-6572,EA,,"EXTERNAL STAR TRANSCEIVER, 1310 SINGLE MODE, (SIGNAL JOBS)"
935-8000,LS,,TESTING
935-8500,LS,,TRAINING
936-1000,EA,* * * Requires Special Provision * * *,CCTV SYSTEM
936-1001,EA,,"CCTV SYSTEM, TYPE B"
936-1010,EA,,"CCTV SYSTEM, TYPE H"
936-2000,EA,,"CCTV CAMERA, INSTALLED"
936-2005,EA,,"CCTV CAMERA, FURNISHED"
936-2010,EA,,"NEMA ENCLOSURE, INSTALLED"
936-2015,EA,,"NEMA ENCLOSURE, FURNISHED"
936-2020,EA,,"INDUSTRIAL POE SWITCH, INSTALLED"
936-2025,EA,,"INDUSTRIAL POE SWITCH, FURNISHED"
936-2030,EA,,"INDUSTRIAL POWER SUPPLY, INSTALLED"
936-2035,EA,,"INDUSTRIAL POWER SUPPLY, FURNISHED"
936-4000,EA,,"CCTV CAMERA SYSTEM, TYPE 1"
936-4050,EA,,"CCTV CAMERA SYSTEM, TYPE 1P"
936-4100,EA,,"CCTV CAMERA SYSTEM, TYPE 2"
936-4150,EA,,"CCTV CAMERA SYSTEM, TYPE 2P"
936-4200,EA,,"CCTV CAMERA SYSTEM, TYPE 3"
936-4250,EA,,"CCTV CAMERA SYSTEM, TYPE 3P"
936-4801,EA,,"VIDEO ENCODER, TYPE B"
936-4802,EA,,"VIDEO ENCODER, TYPE C"
936-4901,EA,,"CCTV MOUNTING ARM, TYPE 1"
936-4902,EA,,"CCTV MOUNTING ARM, TYPE 2"
936-4903,EA,,"CCTV MOUNTING ARM, TYPE 3"
936-4904,EA,,"CCTV MOUNTING ARM, TYPE 4"
936-4920,EA,,"CCTV CAMERA POLE AND FOUNDATION, 20-FT ALUM INSTALLED"
936-4925,EA,,"CCTV CAMERA POLE AND FOUNDATION, 25-FT ALUM INSTALLED"
936-4930,EA,,"CCTV CAMERA POLE, 16-FT ALUM FURNISHED"
936-4950,EA,,CAMERA LOWERING DEVICE
936-8000,LS,* * * Requires Special Provision * * *,TESTING
936-8500,LS,,TRAINING
937-1000,EA,,VIDEO CAMERA SENSOR ASSEMBLY
937-2000,EA,,"VIDEO CAMERA SENSOR ASSEMBLY, TYPE -"
937-3000,EA,,VDS SYSTEM PROCESSOR
937-3010,EA,,"VDS SYSTEM PROCESSOR, TYPE A"
937-3011,EA,,"VDS SYSTEM PROCESSOR, TYPE B"
937-3015,EA,,"VDS SYSTEM PROCESSOR, TYPE D"
937-3500,EA,,"ACCESS POINT CONTACT CLOSURE, TP A"
937-3550,EA,,EXPANSION CONTACT CLOSURE CARD
937-4000,LS,,"INDUCTANCE LOOP DETECTION SYSTEM, NO -"
937-4010,EA,,SHORT-RANGE RADIO DEVICE SUPPORT DATA PROCESSING SOFTWARE PACKAGE
937-4015,EA,,SHORT-RANGE RADIO DEVICE SUPPORT DATA PROCESSING SOFTWARE
937-4025,EA,,SHORT-RANGE RADIO DEVICE DETECTION SYSTEM TYPE -
937-4050,EA,,SERIAL PORT PROTOCOL UNIT
937-4075,EA,,ISOLATOR MODULE
937-4085,EA,,INPUT / OUTPUT MODULE
937-4100,LS,,"PEDESTRIAN DETECTION SYSTEM, NO -"
937-4200,EA,,"WIRELESS MAGNETOMETER SENSOR, TP A"
937-4210,LS,,"WIRELESS MAGNETOMETER DETECTION SYSTEM, NO -"
937-4300,EA,,WIRELESS REPEATER
937-4500,LS,,"CONTINUOUS COUNT STATION SYSTEM, NO -"
937-6000,EA,,MICROWAVE RADAR DETECTION ASSEMBLY
937-6010,LS,,"MICROWAVE VEHICLE DETECTION SYSTEM, NO -"
937-6020,LS,,"TEMPORARY VEHICLE DETECTION SYSTEM, NO -"
937-6025,LS,,"MAINTENANCE OF VEHICLE DETECTION SYSTEM, NO -"
937-6040,LS,,"VIDEO DETECTION SYSTEM, NO -"
937-6050,EA,,"INTERSECTION VIDEO DETECTION SYSTEM ASSEMBLY, TYPE A"
937-6051,EA,,"INTERSECTION VIDEO DETECTION SYSTEM ASSEMBLY, TYPE B"
937-6100,EA,,"OUTPUT EXPANSION MODULE, TYPE A"
937-6101,EA,,"OUTPUT EXPANSION MODULE, TYPE B"
937-6150,EA,,"PROGRAMMING MONITOR, TYPE A"
937-8000,LS,,TESTING
937-8010,LS,,TESTING - VIDEO DETECTION SYSTEM
937-8020,LS,,TESTING - MICROWAVE DETECTION SYSTEM
937-8030,LS,,TESTING - INTERSECTION VIDEO DETECTION
937-8040,L S,,TESTING - WMVD SYSTEM
937-8050,L S,,TESTING - SHORT RANGE RADIO DEVICE DETECTION SYSTEM
937-8500,LS,,TRAINING
937-8510,LS,,TRAINING - VIDEO DETECTION SYSTEM
937-8520,LS,,TRAINING - MICROWAVE DETECTION SYSTEM
937-8530,LS,,TRAINING - INTERSECTION VIDEO DETECTION
937-8550,L S,,TRAINING - WMVD SYSTEM
937-8575,L S,,TRAINING - SHORT RANGE RADIO DEVICE DETECTION SYSTEM
937-8580,LS,,"CONTINUOUS COUNT STATION SYSTEM, WEIGH-IN-MOTION, NO -"
937-9900,EA,,SECURITY CAMERA
939-1110,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO TRANSMITTER, 850 MULTI-MODE"
939-1111,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO TRANSMITTER, 1300 MULTI-MODE"
939-1112,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO TRANSMITTER, 1310 SINGLE MODE"
939-1115,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO RECEIVER, 850 MULTI-MODE"
939-1116,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO RECEIVER, 1300 MULTI-MODE"
939-1117,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO RECEIVER, 1310 SINGLE MODE"
939-1120,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO/DATA TRANSMITTER, MULTI-MODE"
939-1122,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO/DATA TRANSMITTER, SINGLE MODE"
939-1125,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO/DATA RECEIVER, MULTI-MODE"
939-1127,EA,* * * Requires Special Provision * * *,"FIBER OPTIC VIDEO/DATA RECEIVER, SINGLE MODE"
939-1150,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TRANSMITTER, 8 CHANNEL"
939-1151,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TRANSMITTER, 16 CHANNEL"
939-1152,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, RECEIVER, 8 CHANNEL"
939-1153,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, RECEIVER, 16 CHANNEL"
939-1160,EA,* * * Requires Special Provision * * *,"FIBER OPTIC EXTERNAL TRANSCEIVER, DROP AND REPEAT, 850 MULTI-MODE"
939-1161,EA,* * * Requires Special Provision * * *,"FIBER OPTIC EXTERNAL TRANSCEIVER, DROP AND REPEAT, 1300 MULTI-MODE"
939-1162,EA,* * * Requires Special Provision * * *,"FIBER OPTIC EXTERNAL TRANSCEIVER, DROP AND REPEAT, 1310 SINGLE MODE"
939-1170,EA,* * * Requires Special Provision * * *,"FIBER OPTIC EXTERNAL STAR TRANSCEIVER, 850 MULTI-MODE"
939-1171,EA,* * * Requires Special Provision * * *,"FIBER OPTIC EXTERNAL STAR TRANSCEIVER, 1300 MULTI-MODE"
939-1173,EA,* * * Requires Special Provision * * *,"FIBER OPTIC EXTERNAL STAR TRANSCEIVER, 1310 SINGLE MODE"
939-1175,EA,* * * Requires Special Provision * * *,FIBER OPTIC CONVERTER
939-1180,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TYPE B,TRANSMITTER,4 CHANNEL"
939-1181,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TYPE B, TRANSMITTER, 8 CHANNEL"
939-1182,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TYPE B,TRANSMITTER,16 CHANNEL"
939-1183,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TYPE B,RECEIVER,4 CHANNEL"
939-1184,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TYPE B, RECEIVER,8 CHANNEL"
939-1185,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TYPE B, RECEIVER,16 CHANNEL"
939-1190,EA,* * * Requires Special Provision * * *,"VIDEO ENCODER, TYPE A"
939-1191,EA,* * * Requires Special Provision * * *,"VIDEO ENCODER, TYPE B"
939-1192,EA,* * * Requires Special Provision * * *,"VIDEO ENCODER, TYPE C"
939-1195,EA,* * * Requires Special Provision * * *,"VIDEO DECODER, TYPE A"
939-1196,EA,* * * Requires Special Provision * * *,"VIDEO DECODER, TYPE B"
939-1197,EA,* * * Requires Special Provision * * *,"VIDEO DECODER, TYPE C"
939-1355,EA,* * * Requires Special Provision * * *,DSL MODEM
939-1360,EA,* * * Requires Special Provision * * *,FIELD PC
939-1375,EA,* * * Requires Special Provision * * *,PUBLIC NETWORK DIAL-UP MODEM
939-1380,EA,* * * Requires Special Provision * * *,PUBLIC NETWORK SLOW SCAN VIDEO TRANSMITTER
939-1385,EA,* * * Requires Special Provision * * *,PUBLIC NETWORK SLOW SCAN VIDEO RECEIVER
939-1881,EA,* * * Requires Special Provision * * *,"VIDEO TRANSPORT SYSTEM, TYPE B,TRANSMITTER,8 CHANNEL"
939-2010,EA,* * * Requires Special Provision * * *,"ATM SWITCH, CONFIGURATION A"
939-2016,EA,* * * Requires Special Provision * * *,"SERIAL DATA TERMINAL SERVER EXPANSION MODULE, 16 PORT"
939-2020,EA,* * * Requires Special Provision * * *,"SERIAL DATA TERMINAL SERVER, 16 PORT"
939-2021,EA,* * * Requires Special Provision * * *,"SERIAL DATA TERMINAL SERVER, 32 PORT"
